Fakultas,Prodi,Seberapa mudah Anda mengakses SIAMIK saat war KRS berlangsung?,Berapa lama rata-rata waktu login yang Anda alami saat war KRS? (.....menit),Seberapa sering Anda mengalami gagal masuk atau error saat login di SIAMIK?,Apakah Anda pernah kehilangan mata kuliah karena slot penuh akibat lambatnya SIAMIK? ,Masalah utama yang paling sering Anda alami saat war KRS?,Berapa lama waktu yang Anda perlukan untuk menunggu ACC dari sistem/webnya? (....menit/jam),Apakah SIAMIK sudah memberikan notifikasi/status ACC KRS dengan jelas?,Seberapa puas Anda secara keseluruhan terhadap SIAMIK dalam proses War KRS dan ACC?,"Jika diberikan kesempatan memilih, aspek apa yang paling prioritas untuk diperbaiki pada SIAMIK?","Berdasarkan pengalaman terakhir anda, Bagaimana penilaian anda terhadap kualitas SIAMIK saat war KRS dan ACC?"
"Fakultas Ilmu Sosial, Budaya, dan Politik",Ilmu Komunikasi ,4,2,2,Ya,Sulit login/server down,30,Kurang jelas,2,Kecepatan server saat war KRS,2
Fakultas Teknik dan Sains,Teknik Industri ,5,1,2,Tidak,Sulit login/server down,1,"Ya, sangat jelas",4,Kecepatan server saat war KRS,4
Fakultas Teknik dan Sains,Teknik Kimia,2,60,3,Ya,Sulit login/server down,120,Cukup jelas,2,Proses ACC system/web,3
Fakultas Arsitektur dan Desain,Desain Komunikasi Visual ,3,10,2,Tidak,Sulit login/server down,10,Kurang jelas,3,Kecepatan server saat war KRS,3
"Fakultas Ilmu Sosial, Budaya, dan Politik",Administrasi Bisnis,2,5,4,Ya,Slot mata kuliah cepat penuh,60,Cukup jelas,3,Proses ACC system/web,3
"Fakultas Ilmu Sosial, Budaya, dan Politik",Administrasi Bisnis,3,2,4,Tidak,Sulit login/server down,1,Cukup jelas,3,Kecepatan server saat war KRS,4
"Fakultas Ilmu Sosial, Budaya, dan Politik",Administrasi Bisnis,3,1,4,Ya,Slot mata kuliah cepat penuh,2880,Cukup jelas,2,Notifikasi otomatis ACC mata kuliah,4
"Fakultas Ilmu Sosial, Budaya, dan Politik",Administrasi Bisnis,4,15,2,Tidak,Slot mata kuliah cepat penuh,1620,Cukup jelas,4,Kecepatan server saat war KRS,4
"Fakultas Ilmu Sosial, Budaya, dan Politik",Administrasi Publik,5,1,2,Tidak,Slot mata kuliah cepat penuh,1,"Ya, sangat jelas",2,Kecepatan server saat war KRS,2
"Fakultas Ilmu Sosial, Budaya, dan Politik",Administrasi Bisnis,3,20,1,Ya,Slot mata kuliah cepat penuh,1440,Cukup jelas,3,Kecepatan server saat war KRS,3
"Fakultas Ilmu Sosial, Budaya, dan Politik",Administrasi Bisnis,3,20,2,Tidak,"Error system (data tidak tersimpan, crash, dll)",1440,Tidak jelas sama sekali,3,Proses ACC system/web,3
Fakultas Arsitektur dan Desain,Arsitektur ,3,3,2,Tidak,Sulit login/server down,5760,Kurang jelas,3,Kecepatan server saat war KRS,3
"Fakultas Ilmu Sosial, Budaya, dan Politik",Administrasi Bisnis,3,10,2,Tidak,Slot mata kuliah cepat penuh,1440,Kurang jelas,3,Proses ACC system/web,3
"Fakultas Ilmu Sosial, Budaya, dan Politik",Administrasi Publik,3,20,4,Tidak,Sulit login/server down,20,Kurang jelas,3,Kecepatan server saat war KRS,3
